frame,x,y,heading,speed_kmh,steer,accel,reward,termination
121,232.7305,-31.2303,0.0009,206.72,-0.0681,0.5229,1.99,
122,235.608,-31.1785,0.018,207.21,0.0939,0.5142,0.99,
123,238.493,-31.1758,0.0009,207.72,-0.0475,0.5166,0.99,
124,241.3841,-31.1239,0.018,208.2,0.1138,0.5092,0.99,
125,244.2825,-31.1212,0.001,208.68,-0.0222,0.5105,0.99,
126,247.1867,-31.0692,0.0179,209.14,0.1376,0.5041,0.99,
127,250.0971,-30.9959,0.0252,209.61,0.0078,0.5041,0.99,
128,253.0147,-30.9717,0.0083,210.08,-0.0511,0.5081,0.99,
129,255.9376,-30.8982,0.0251,210.52,0.1105,0.498,0.99,
130,258.8675,-30.8738,0.0083,210.96,-0.0249,0.502,1.99,
131,261.8026,-30.8001,0.0251,211.39,0.1346,0.4973,0.99,
132,264.7432,-30.7052,0.0323,211.84,0.0076,0.4994,0.99,
133,267.6934,-30.6594,0.0155,212.44,-0.0573,0.5621,0.99,
134,270.6489,-30.5642,0.0322,212.91,0.1171,0.5167,0.99,
135,273.6098,-30.4195,0.0488,213.44,0.0312,0.5386,0.99,
136,276.5806,-30.3237,0.0322,214.01,-0.0218,0.5546,0.99,
137,279.5557,-30.1785,0.0488,214.46,0.1623,0.5113,0.99,
138,282.5344,-29.9838,0.0653,214.93,0.1579,0.5185,1.99,
139,285.5161,-29.7395,0.0817,215.4,0.1671,0.5242,0.99,
140,288.5001,-29.4456,0.0982,215.89,0.1861,0.5273,0.99,
141,291.4805,-29.1027,0.1145,216.0,0.2299,0.5142,0.99,
142,294.4548,-28.7111,0.1309,216.0,0.3012,0.4651,0.99,
143,297.4223,-28.271,0.1472,216.0,0.6701,0.3676,0.99,
144,300.3823,-27.7824,0.1636,216.0,0.7,0.3594,0.99,
145,303.3337,-27.2455,0.1799,215.99,0.7235,0.3449,0.99,
146,306.2739,-26.6609,0.1963,215.84,0.7322,0.295,1.99,
147,309.197,-26.0299,0.2126,215.31,0.7219,0.1511,0.99,
148,312.0639,-25.3624,0.2288,211.94,0.3216,-0.9017,0.99,
149,314.8732,-24.6596,0.2451,208.5,0.3577,-0.9318,0.99,
150,317.6238,-23.9225,0.2618,205.03,0.4152,-0.9514,1.99,
151,320.3152,-23.1523,0.2787,201.56,0.4868,-0.9615,-0.01,
152,322.9467,-22.3499,0.296,198.08,0.5416,-0.9677,0.99,
153,325.5182,-21.5164,0.3135,194.63,0.5519,-0.9678,0.99,
154,328.0295,-20.6525,0.3313,191.21,0.4961,-0.9613,0.99,
155,330.4816,-19.759,0.3494,187.91,0.3863,-0.9252,0.99,
156,332.8777,-18.8353,0.3679,184.89,0.1173,-0.8243,-0.01,
157,335.2573,-17.9691,0.3491,182.33,-0.062,-0.6618,0.99,
158,337.6236,-17.1587,0.33,180.09,-0.1084,-0.5504,-0.01,
159,339.9746,-16.404,0.3106,177.78,-0.1929,-0.5754,0.99,
160,342.3064,-15.7055,0.291,175.26,-0.2245,-0.6604,-10.0,CRASH
